"","State","State.Name","Year","Number of Deaths","Number of Drug Overdose Deaths","race","perc_in_pov","region"
"159","MT","Montana",2016,9941,114,"hispanic",14.33,"West"
"160","MT","Montana",2016,9941,114,"native",24.15,"West"
"161","MT","Montana",2016,9941,114,"multiple_races",21.01,"West"
"162","MT","Montana",2016,9941,114,"total",13.06,"West"
"163","NC","North Carolina",2016,91350,1931,"white",10.96,"South"
"164","NC","North Carolina",2016,91350,1931,"black",24.38,"South"
"165","NC","North Carolina",2016,91350,1931,"hispanic",27.79,"South"
"166","NC","North Carolina",2016,91350,1931,"native",23.6,"South"
"167","NC","North Carolina",2016,91350,1931,"multiple_races",21.05,"South"
"168","NC","North Carolina",2016,91350,1931,"total",15.71,"South"
"169","ND","North Dakota",2016,6806,80,"white",8.46,"North Central"
"170","ND","North Dakota",2016,6806,80,"black",NA,"North Central"
"171","ND","North Dakota",2016,6806,80,"hispanic",27.11,"North Central"
"172","ND","North Dakota",2016,6806,80,"native",38.41,"North Central"
"173","ND","North Dakota",2016,6806,80,"multiple_races",NA,"North Central"
"174","ND","North Dakota",2016,6806,80,"total",11.61,"North Central"
"175","NE","Nebraska",2016,16400,113,"white",8.68,"North Central"
"176","NE","Nebraska",2016,16400,113,"black",28.1,"North Central"
"177","NE","Nebraska",2016,16400,113,"hispanic",24.59,"North Central"
"178","NE","Nebraska",2016,16400,113,"native",31.97,"North Central"
"179","NE","Nebraska",2016,16400,113,"multiple_races",NA,"North Central"
"180","NE","Nebraska",2016,16400,113,"total",11.73,"North Central"
"181","NH","New Hampshire",2016,11909,458,"white",6.32,"Northeast"
"182","NH","New Hampshire",2016,11909,458,"black",NA,"Northeast"
"183","NH","New Hampshire",2016,11909,458,"hispanic",15.02,"Northeast"
"184","NH","New Hampshire",2016,11909,458,"native",NA,"Northeast"
"185","NH","New Hampshire",2016,11909,458,"multiple_races",20.35,"Northeast"
"186","NH","New Hampshire",2016,11909,458,"total",6.94,"Northeast"
"187","NJ","New Jersey",2016,72082,1971,"white",6.44,"Northeast"
"188","NJ","New Jersey",2016,72082,1971,"black",17.14,"Northeast"
"189","NJ","New Jersey",2016,72082,1971,"hispanic",18.34,"Northeast"
"190","NJ","New Jersey",2016,72082,1971,"native",26.83,"Northeast"
"191","NJ","New Jersey",2016,72082,1971,"multiple_races",12.01,"Northeast"
"192","NJ","New Jersey",2016,72082,1971,"total",10.29,"Northeast"
"193","NM","New Mexico",2016,17768,494,"white",12.37,"West"
"194","NM","New Mexico",2016,17768,494,"black",21.26,"West"
"195","NM","New Mexico",2016,17768,494,"hispanic",24.13,"West"
"196","NM","New Mexico",2016,17768,494,"native",32.47,"West"
"197","NM","New Mexico",2016,17768,494,"multiple_races",21.19,"West"
"198","NM","New Mexico",2016,17768,494,"total",20.06,"West"
"199","NV","Nevada",2016,24692,707,"white",9.47,"West"
"200","NV","Nevada",2016,24692,707,"black",21.37,"West"
"201","NV","Nevada",2016,24692,707,"hispanic",18.91,"West"
"202","NV","Nevada",2016,24692,707,"native",31.08,"West"
"203","NV","Nevada",2016,24692,707,"multiple_races",12.93,"West"
"204","NV","Nevada",2016,24692,707,"total",13.57,"West"
"205","NY","New York",2016,98766,2248,"white",9.58,"Northeast"
"206","NY","New York",2016,98766,2248,"black",20.52,"Northeast"
"207","NY","New York",2016,98766,2248,"hispanic",24.33,"Northeast"
"208","NY","New York",2016,98766,2248,"native",23.45,"Northeast"
"209","NY","New York",2016,98766,2248,"multiple_races",18.37,"Northeast"
"210","NY","New York",2016,98766,2248,"total",14.8,"Northeast"
"211","OH","Ohio",2016,119618,4326,"white",11.02,"North Central"
"212","OH","Ohio",2016,119618,4326,"black",30.61,"North Central"
"213","OH","Ohio",2016,119618,4326,"hispanic",25.91,"North Central"
"214","OH","Ohio",2016,119618,4326,"native",30.53,"North Central"
"215","OH","Ohio",2016,119618,4326,"multiple_races",26.12,"North Central"
"216","OH","Ohio",2016,119618,4326,"total",14.42,"North Central"
"217","OK","Oklahoma",2016,38170,803,"white",12.18,"South"
"218","OK","Oklahoma",2016,38170,803,"black",28.78,"South"
"219","OK","Oklahoma",2016,38170,803,"hispanic",25.93,"South"
"220","OK","Oklahoma",2016,38170,803,"native",22.81,"South"
"221","OK","Oklahoma",2016,38170,803,"multiple_races",19.83,"South"
"222","OK","Oklahoma",2016,38170,803,"total",16.13,"South"
"223","OR","Oregon",2016,35918,496,"white",11.09,"West"
"224","OR","Oregon",2016,35918,496,"black",25.79,"West"
"225","OR","Oregon",2016,35918,496,"hispanic",23.1,"West"
"226","OR","Oregon",2016,35918,496,"native",24.27,"West"
"227","OR","Oregon",2016,35918,496,"multiple_races",17.65,"West"
"228","OR","Oregon",2016,35918,496,"total",13.41,"West"
"229","PA","Pennsylvania",2016,134523,4648,"white",9.34,"Northeast"
"230","PA","Pennsylvania",2016,134523,4648,"black",26.35,"Northeast"
"231","PA","Pennsylvania",2016,134523,4648,"hispanic",28.31,"Northeast"
"232","PA","Pennsylvania",2016,134523,4648,"native",34.34,"Northeast"
"233","PA","Pennsylvania",2016,134523,4648,"multiple_races",20.56,"Northeast"
"234","PA","Pennsylvania",2016,134523,4648,"total",12.81,"Northeast"
"235","RI","Rhode Island",2016,10023,346,"white",9.53,"Northeast"
"236","RI","Rhode Island",2016,10023,346,"black",20.49,"Northeast"
"237","RI","Rhode Island",2016,10023,346,"hispanic",23.16,"Northeast"
"238","RI","Rhode Island",2016,10023,346,"native",NA,"Northeast"
"239","RI","Rhode Island",2016,10023,346,"multiple_races",26.48,"Northeast"
"240","RI","Rhode Island",2016,10023,346,"total",12.74,"Northeast"
"241","SC","South Carolina",2016,47123,871,"white",10.08,"South"
"242","SC","South Carolina",2016,47123,871,"black",24.39,"South"
"243","SC","South Carolina",2016,47123,871,"hispanic",26.2,"South"
"244","SC","South Carolina",2016,47123,871,"native",NA,"South"
"245","SC","South Carolina",2016,47123,871,"multiple_races",29.3,"South"
"246","SC","South Carolina",2016,47123,871,"total",15.19,"South"
"247","SD","South Dakota",2016,7945,69,"white",8.14,"North Central"
"248","SD","South Dakota",2016,7945,69,"black",NA,"North Central"
"249","SD","South Dakota",2016,7945,69,"hispanic",30.62,"North Central"
"250","SD","South Dakota",2016,7945,69,"native",55.42,"North Central"
"251","SD","South Dakota",2016,7945,69,"multiple_races",32.94,"North Central"
"252","SD","South Dakota",2016,7945,69,"total",13.76,"North Central"
"253","TN","Tennessee",2016,71506,1643,"white",12.51,"South"
"254","TN","Tennessee",2016,71506,1643,"black",26.11,"South"
"255","TN","Tennessee",2016,71506,1643,"hispanic",28.66,"South"
"256","TN","Tennessee",2016,71506,1643,"native",NA,"South"
"257","TN","Tennessee",2016,71506,1643,"multiple_races",20.56,"South"
"258","TN","Tennessee",2016,71506,1643,"total",15.7,"South"
"259","TX","Texas",2016,194843,2812,"white",8.9,"South"
"260","TX","Texas",2016,194843,2812,"black",20.36,"South"
"261","TX","Texas",2016,194843,2812,"hispanic",22.25,"South"
"262","TX","Texas",2016,194843,2812,"native",12.97,"South"
"263","TX","Texas",2016,194843,2812,"multiple_races",14.87,"South"
"264","TX","Texas",2016,194843,2812,"total",15.66,"South"
"265","UT","Utah",2016,18498,650,"white",8.21,"West"
"266","UT","Utah",2016,18498,650,"black",39.12,"West"
"267","UT","Utah",2016,18498,650,"hispanic",17.99,"West"
"268","UT","Utah",2016,18498,650,"native",36.4,"West"
"269","UT","Utah",2016,18498,650,"multiple_races",12.43,"West"
"270","UT","Utah",2016,18498,650,"total",10.38,"West"
"271","VA","Virginia",2016,65580,1356,"white",8.58,"South"
"272","VA","Virginia",2016,65580,1356,"black",18.19,"South"
"273","VA","Virginia",2016,65580,1356,"hispanic",15.32,"South"
"274","VA","Virginia",2016,65580,1356,"native",9.66,"South"
"275","VA","Virginia",2016,65580,1356,"multiple_races",14.54,"South"
"276","VA","Virginia",2016,65580,1356,"total",11.09,"South"
"277","VT","Vermont",2016,5787,136,"white",11.04,"Northeast"
"278","VT","Vermont",2016,5787,136,"black",NA,"Northeast"
"279","VT","Vermont",2016,5787,136,"hispanic",NA,"Northeast"
"280","VT","Vermont",2016,5787,136,"native",NA,"Northeast"
"281","VT","Vermont",2016,5787,136,"multiple_races",NA,"Northeast"
"282","VT","Vermont",2016,5787,136,"total",11.17,"Northeast"
"283","WA","Washington",2016,54767,1117,"white",9.19,"West"
"284","WA","Washington",2016,54767,1117,"black",21.97,"West"
"285","WA","Washington",2016,54767,1117,"hispanic",19.52,"West"
"286","WA","Washington",2016,54767,1117,"native",24.19,"West"
"287","WA","Washington",2016,54767,1117,"multiple_races",14.82,"West"
"288","WA","Washington",2016,54767,1117,"total",11.38,"West"
"289","WI","Wisconsin",2016,51650,1079,"white",8.79,"North Central"
"290","WI","Wisconsin",2016,51650,1079,"black",31.27,"North Central"
"291","WI","Wisconsin",2016,51650,1079,"hispanic",24.21,"North Central"
"292","WI","Wisconsin",2016,51650,1079,"native",27.07,"North Central"
"293","WI","Wisconsin",2016,51650,1079,"multiple_races",19.81,"North Central"
"294","WI","Wisconsin",2016,51650,1079,"total",11.79,"North Central"
"295","WV","West Virginia",2016,21990,879,"white",17.65,"South"
"296","WV","West Virginia",2016,21990,879,"black",24.39,"South"
"297","WV","West Virginia",2016,21990,879,"hispanic",26.75,"South"
"298","WV","West Virginia",2016,21990,879,"native",NA,"South"
"299","WV","West Virginia",2016,21990,879,"multiple_races",31.52,"South"
"300","WV","West Virginia",2016,21990,879,"total",18.28,"South"
"301","WY","Wyoming",2016,4347,93,"white",10.45,"West"
"302","WY","Wyoming",2016,4347,93,"black",NA,"West"
"303","WY","Wyoming",2016,4347,93,"hispanic",17.92,"West"
"304","WY","Wyoming",2016,4347,93,"native",21.88,"West"
"305","WY","Wyoming",2016,4347,93,"multiple_races",NA,"West"
"306","WY","Wyoming",2016,4347,93,"total",11.75,"West"
